Year,Percentage enrolled in education at age 19 (UK),Percentage enrolled in education at age 19 (OECD average)
2020,63.2,60.8
2019,62.4,61
2018,61.7,62
2017,62.7,62.5
2016,60.9,62.4
2015,57.6,62.3
2014,56.6,62
2013,58.6,61.6
2012,53,61.7
2011,50.2,62.3
2010,48.2,61.5
