Area,Year,Average pupil attainment scores
United Kingdom,2018,503.9
United Kingdom,2015,498
United Kingdom,2012,499.3
United Kingdom,2009,494.2
United Kingdom,2006,495.1
United Kingdom,2003,507
United Kingdom,2000,523.4
International Average (OECD),2018,487.1
International Average (OECD),2015,490.2
International Average (OECD),2012,493.2
International Average (OECD),2009,490.3
International Average (OECD),2006,485.4
International Average (OECD),2003,494.1
International Average (OECD),2000,493.5
