Year,Ratio of earnings,Sample size
2021,3.28,27085
2020,3.41,25910
2019,3.46,26703
2018,3.54,26424
2017,3.57,26241
2016,3.62,25758
2015,3.73,25997
2014,3.82,25036
2013,3.86,24575
2012,3.86,24203
2011,3.96,24376
2010,3.96,24263
2009,3.95,24256
2008,3.95,24626
2007,3.93,24487
2006,3.97,23729
2005,4,23659
2004,3.96,21915
2003,3.98,22209
2002,4.02,21975
2001,4.03,21858
2000,3.96,21721
1999,3.99,21490
1998,3.99,21167
1997,4.01,20858
