Year,Average pupil attainment scores (UK),Average pupil attainment scores (OECD average)
2018,503.9,487.1
2015,498,490.2
2012,499.3,493.2
2009,494.2,490.3
2006,495.1,485.4
2003,507,494.1
2000,523.4,493.5
