Year,Higher professional,Lower professional,Intermediate,Higher working,Lower working
2021,19.75,26.07,21.73,13.27,19.17
2020,17.98,26.25,21.56,17.3,16.91
2019,16.58,26.08,21.75,17.31,18.28
2018,15.96,25.65,21.69,18.02,18.68
2017,15.49,25.23,21.91,18.69,18.68
2016,15.51,24.32,21.84,19.22,19.12
2015,14.6,24.08,21.43,19.06,20.83
2014,14.06,24.6,21.18,18.88,21.29
