Year,In employment (not in education or training),Education and apprenticeships/WBL,Other training (less overlaps),NEET
2021,7.97,81.25,4.35,6.43
2020,6.99,82.11,4.2,6.7
2019,7.44,81.26,4.61,6.7
2018,7.79,80.66,5,6.56
2017,7.9,80.46,5.2,6.45
2016,7.29,81.15,5.23,6.33
2015,6.94,81.32,5.1,6.63
2014,6.5,81.05,4.82,7.63
2013,6.9,80.86,4.5,7.74
2012,7.09,79.28,4.39,9.24
2011,6.77,79.5,3.96,9.77
